model,samples_per_state,repeat,discovered_ari_to_hidden_families,discovered_group_count,discovered_min_group_size,discovered_max_group_size,discovered_population_closure_tv,hidden_population_closure_tv,discovered_heldout_closure_tv,hidden_heldout_closure_tv,random_median_heldout_closure_tv,random_best_heldout_closure_tv,discovered_heldout_macro_log_loss,hidden_heldout_macro_log_loss,random_median_heldout_macro_log_loss
eta_0,5000,21,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.013263026040972301,0.013263026040972301,0.1638807950606586,0.13851591732213483,1.4923711508704995,1.4923711508704995,2.049712552180975
eta_0,5000,22,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.013009195440607914,0.013009195440607914,0.16500847914722483,0.1212109763142692,1.4896188413467293,1.4896188413467293,2.0498234619309788
eta_0,5000,23,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.012966499466737766,0.012966499466737766,0.16457513581522462,0.13839073123583523,1.4893536354785515,1.4893536354785513,2.0479735014273883
eta_0,5000,24,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.012511434031018088,0.012511434031018088,0.163532552881838,0.13466410978536195,1.4893390824294865,1.4893390824294868,2.053348812210954
eta_0,5000,25,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.013969477958494422,0.013969477958494422,0.16189122478114032,0.1376084572057059,1.4887066299282037,1.488706629928204,2.05321245325721
eta_0,5000,26,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.011943681953517311,0.011943681953517311,0.16795654107230146,0.1337300837666089,1.4858267550026707,1.4858267550026707,2.047812992839525
eta_0,5000,27,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.012673055259298757,0.012673055259298757,0.1650461419033018,0.12388038039372529,1.4868235175306275,1.486823517530628,2.052088564593615
eta_0,5000,28,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.012367099942229927,0.012367099942229927,0.1624723381326934,0.12738309336532908,1.487703326610331,1.487703326610331,2.0505420252233515
eta_0,5000,29,1.0,8,6,6,3.903127820947816e-18,3.903127820947816e-18,0.0143951089854686,0.0143951089854686,0.1644847528662845,0.1365475058881038,1.4900560813487371,1.490056081348737,2.050503866100909
eta_0.02,100,0,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.09346026490066227,0.09346026490066227,0.19240514624724062,0.16570916114790288,1.509595318809821,1.5095953188098208,2.051971557172957
eta_0.02,100,1,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08690604304635761,0.08690604304635761,0.18996654249448125,0.1734105960264901,1.5109857784416427,1.5109857784416427,2.0560441403405774
eta_0.02,100,2,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.09070226269315675,0.09070226269315675,0.19668839679911704,0.16575883002207506,1.4932035635933634,1.4932035635933634,2.05183552767284
eta_0.02,100,3,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08781939845474614,0.08781939845474614,0.19405560154525386,0.16409009381898457,1.4999315239201256,1.4999315239201256,2.047204148843953
eta_0.02,100,4,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08096095474613688,0.08096095474613688,0.19305567052980133,0.1745136589403974,1.4823487162628963,1.4823487162628963,2.0546810194871483
eta_0.02,100,5,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.09406525938189847,0.09406525938189847,0.1943960402869757,0.1751007174392936,1.4945924646207698,1.4945924646207698,2.055821867248762
eta_0.02,100,6,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08623482339955851,0.08623482339955851,0.19831746688741725,0.17952400662251655,1.4772804822151147,1.4772804822151147,2.0561414932701276
eta_0.02,100,7,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08891211368653423,0.08891211368653423,0.1917170253863135,0.1674951710816777,1.5185215198048798,1.5185215198048798,2.0554945935401525
eta_0.02,100,8,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08853476821192052,0.08853476821192052,0.19699503311258282,0.17213369205298013,1.485748776170434,1.4857487761704338,2.0505303372476176
eta_0.02,100,9,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.09387072295805739,0.09387072295805739,0.19605063465783662,0.17442811810154524,1.4815731625480448,1.4815731625480448,2.0571105967662375
eta_0.02,100,10,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08641763245033113,0.08641763245033113,0.19773385761589402,0.17112720750551877,1.4801144433107083,1.4801144433107085,2.0544939514655205
eta_0.02,100,11,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08921702538631349,0.08921702538631349,0.1969746826710817,0.17521247240618107,1.4613808304361728,1.4613808304361728,2.0535948769235164
eta_0.02,100,12,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08938465783664461,0.08938465783664461,0.19402524834437085,0.17694191501103754,1.4830187044471672,1.4830187044471672,2.054219622961816
eta_0.02,100,13,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.09148247792494481,0.09148247792494481,0.1857298565121413,0.16707574503311262,1.5034578688469553,1.5034578688469553,2.0557713020405566
eta_0.02,100,14,1.0,8,6,6,4.5102810375396984e-17,4.5102810375396984e-17,0.08977442052980134,0.08977442052980134,0.19937224061810155,0.1781850165562914,1.4714938384883716,1.4714938384883716,2.048802768438639
